No,Tgl_Iklan,url,Harga_Juta,Kota,LT,LB,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi,
31,31-03-21,https://www.rumah123.com/properti/depok/hos7288330/,845,DEPOK ,100,65,3,2,0,0,0,0,2200,SHM,RUMAH CILODONG TANAH LUAS DEKAT GDC 5 MENIT KE ST DEPOK,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
32,31-03-21,https://www.rumah123.com/properti/depok/hos8090046/,845,DEPOK ,90,65,3,2,0,0,0,0,2200,SHM,RUMAH DEPOK 2 LANTAI SKANDINAVIA TANAH LUAS DEKAT PINTU TOL CIMANGGIS,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
33,31-03-21,https://www.rumah123.com/properti/depok/hos4835281/,117.4,DEPOK ,80,61,3,2,0,0,0,0,2200,SHM,RUMAH DEPOK MARGONDA 2 LANTAI SALADDIN SQUARE DEKAT STASIUN DAN TOL,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
34,31-03-21,https://www.rumah123.com/properti/depok/hos5259817/,1890,DEPOK ,137,140,4,3,0,0,0,0,2200,SHM,"RUMAH MEWAH MINIMALIS 2 LANTAI, HARGA TERBAIK","BEBAS BANJIR, DEKAT PINTU TOL, DAN FASILITAS PENUNJANG LAINNYA!",
35,31-03-21,https://www.rumah123.com/properti/depok/hos7937162/,588,DEPOK ,60,54,3,2,0,0,0,0,2200,SHM,RUMAH SAMPING GDC SKANDINAVIA 10 MENIT KE STASIUN DEPOK,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
36,31-03-21,https://www.rumah123.com/properti/depok/hos4566036/,882,DEPOK ,102,56,3,2,0,0,0,0,2200,SHM,RUMAH CIBUBUR DEPOK KONSEP BALI 5 MENIT KE PINTU TOL,HUNIAN KONSEP BALI DENGAN LOKASI EKSKLUSIF DAN SANGAT HIJAU MEMBERIKAN KENYAMANAN DAN KEAMANAN KEPADA SETIAP PENGHUNINYA.,
37,31-03-21,https://www.rumah123.com/properti/depok/hos4313420/,782,DEPOK ,102,45,2,1,0,0,0,0,1300,SHM,RUMAH CIBUBUR DEPOK KONSEP BALI 5 MENIT KE PINTU TOL,HUNIAN KONSEP BALI DENGAN LOKASI EKSKLUSIF DAN SANGAT HIJAU MEMBERIKAN KENYAMANAN DAN KEAMANAN KEPADA SETIAP PENGHUNINYA.,
38,31-03-21,https://www.rumah123.com/properti/depok/hos8100202/,350,DEPOK ,52,40,2,1,0,0,0,0,1300,SHM,RUMAH MURAH MERIAH 3 MENIT KE STASIUN DEPOK LAMA,"RUMAH EXCLUSIVE DEKAT STASIUN DEPOK LAMA, LEGALITAS SHM , IMB, DAN PBB.",
39,31-03-21,https://www.rumah123.com/properti/depok/hos8102338/,535,DEPOK ,70,45,2,1,0,0,0,0,2200,SHM,RUMAH MINIMALIS 1 LANTAI HARGA TERJANGKAU LOKASI STRATEGIS HANYA 10 MENIT DARI TOL CIJAGO,"SEGERA SURVEY, HUBUNGI : 08111-575-444 (ADE SAPUTRA)",
40,01-04-21,https://www.rumah.com/listing-properti/dijual-rumah-ready-stok-dekat-pintu-tol-krukut-oleh-amma-hudayah-17673490,1250,DEPOK ,90,130,3,4,0,0,2,2,2200,SHM,RUMAH READY STOK DEKAT PINTU TOL KRUKUT,"RUMAH SIAP HUNI 2LANTAI DEKAT PINTU TOL KRUKUT LOKASI YANG SANGAT MENGUNTUNGKAN: - ONE GATE SYSTEM 24 JAM . - LINGKUNGAN KOMPLEK AMAN, SEJUK DAN NYAMAN - 2 MENIT KE NEW SOUTH CITY. - THN 2020 TOLL DIBUKA CAKRA - TOLL DESARI/ CILANDAK - 1 MENIT KE TOLL DESARI - 10 MENIT KE PASAR SEGER, INFORMA, PIZZA HART - 15 MENIT KE CINERE MALL, BELLIVEU MALL - 15 MENIT KE RS, PURI CINERE - 15 MENIT KE LAPANGAN GOLF PANGKALAN JATI, KAMPUS UPN PONDOK LABU - 15 MENIT KE ONE BELLPARK - 15 MENIT KE TOLL TB. SIMATUPANG KRAMIK & MATRIAL KWALITAS PREMIUM, INSTALLASI HEATER , AC ,KITCHEN SET. CARPORT : 2 MOBIL AKSES JALAN : 3 MOBIL BEBAS BANJIR",
41,02-04-21,https://www.rumah.com/listing-properti/dijual-rumah-3-kamar-bebas-custom-di-kawasan-wisata-alun-alun-depok-lokasi-favorit-oleh-muhammad-ghozy-17981633,857.6,DEPOK ,78,69,3,2,0,0,0,1,2200,SHM,RUMAH 3 KAMAR BEBAS CUSTOM DI KAWASAN WISATA ALUN ALUN DEPOK & LOKASI FAVORIT,"DIJUAL RUMAH SPECIAL PROMO AKHIR TAHUN TAHUN BARU, RUMAH BARU DENGAN HARGA RUMAH 2019 GRAND DAHLIA CLUSTER DEPOK. GRAND DAHLIA CLUSTER ADALAH SALAH SATU PROYEK TERBAIK DARI PRIMEVESTLAND GROUP YANG BERLOKASI DI JATIMULYA, CILODONG, KOTA DEPOK NEMPEL PERSIS DENGAN ALUN-ALUN KOTA DEPOK DENGAN SELURUH FASILITAS YANG KAMU BUTUHKAN. HTTPS://GOO.GL/MAPS/CBUBS2E78V7DWETK9 TERSEDIA RUMAH 1 LANTAI & 2 LANTAI. MULAI DARI 600JT-AN --> SPESIAL PROMO AKHIR TAHUN PENUH POTONGAN -> DISKON HINGGA RATUSAN JUTA -> DP RINGAN 0% - 5% CICIL 5X -> GRATIS BIAYA NOTARIS* -> GRATIS BIAYA NAIK HAK SERTIFIKAT* -> GRATIS BIAYA AJB & BALIK NAMA* KEMUDAHAN LAINNYA YANG KAMU DAPATKAN: -> 1 MENIT DARI ALUN-ALUN KOTA DEPOK -> 5 MENIT DARI AKSES TERDEKAT STASIUN DEPOK LAMA -> 15 MENIT KE PINTU TOL CIJAGO -> FREE CUSTOM LAY OUT DIDAMPINGI ARSITEK PROFESSIONAL -> SHM PECAH PER UNIT -> KPR DITOLAK UANG KEMBALI 100% -> SUDAH TERPASANG KONEKSI WI-FI -> JAMINAN MASA RETENSI RUMAH -> FASILITAS DALAM CLUSTER TERDIRI DARI : - ONE GATE SYSTEM - SECURITY & CCTV 24 JAM - LEBAR JALAN 6 SD 7 M - KOLAM RENANG ANAK (SUDAH SELESAI) - MASJID (SUDAH SELESAI) - PLAYGROUND (SUDAH SELESAI) - LAPANGAN BADMINTON (SUDAH SELESAI) -> DEKAT DENGAN SEKOLAH, PASAR TRADISIONAL/MODERN, WISATA KELUARGA, RUMAH SAKIT & AREA KOMERSIL. SPESIFIKASI TERBAIK: PONDASI BATU KALI (1 LT) PONDASI CAKAR AYAM (2 LT) STRUKTUR BETON BERTULANG DINDING DOUBLE HEBEL PLESTER + ACIAN MORTAR FINISHING CAT LANTAI FULL GRANITE TILE 60 X 60 KUSEN ALUMUNIUM COATING WHITE PINTU PANEL SELURUH RUANGAN PLAFON GYPSUM CEILING DROP + LED STRIP TINGGI 4M RANGKA ATAP BAJA RINGAN SANITAIR TOTO + SHOWER SET AIR PDAM LISTRIK 1300 W (1 LT) LISTRIK 2200 W (2 LT)",
